Language/Swedenese;INT+CHA,8/SA
Language/French;INT+CHA,8/SA
Language/German;INT+CHA,8/SA
Language/Hindi;INT+CHA,8/SA
Language/Greek;INT+CHA,8/SA
Language/Italian;INT+CHA,8/SA
Language/Mandarin;INT+CHA,8/SA
Language/Mongolian;INT+CHA,8/SA
Language/Romanian;INT+CHA,8/SA
Language/Slovak;INT+CHA,8/SA
Language/Spanish;INT+CHA,8/SA
Language/Urdu;INT+CHA,8/SA
Language/Scots Gaelic;INT+CHA,8/SA
Language/Swedish;INT+CHA,8/SA
Language/Latin;INT+CHA,8/SA
Leadership;WIL+CHA,8/SA
Martial Arts;RFL,7/SB
MedTech/General;INT,7/SB
MedTech/Veterinary;INT,7/SB
Melee Weapons;DEX,7/SB
Navigation/Air;INT,7/SB
Navigation/Ground;INT,7/SB
Navigation/K-F Jump;INT,7/SB
Navigation/Sea;INT,7/SB
Navigation/Space;INT,7/SB
Negotiation;CHA,8/CB
Perception;INT,7/SB
Piloting/Aerospace;RFL+DEX,8/SA
Piloting/Air Vehicle;RFL+DEX,8/SA
Piloting/Battlesuit;RFL+DEX,8/SA
Piloting/'Mech;RFL+DEX,8/SA
Piloting/ProtoMech;RFL+DEX,8/SA
Piloting/Spacecraft;RFL+DEX,8/SA
Prestidigitation/Pick Pocket;DEX,7/SB
Prestidigitation/Quickdraw;DEX,7/SB
Prestidigitation/Sleight of Hand;DEX,7/SB
Protocol/Capellan;WIL+CHA,9/CA
Protocol/FedSuns;WIL+CHA,9/CA
Protocol/Lyran;WIL+CHA,9/CA
Protocol/Combine;WIL+CHA,9/CA
Protocol/Free Worlds;WIL+CHA,9/CA
Protocol/Draconis;WIL+CHA,9/CA
Protocol/Clan (Ghost Bear);WIL+CHA,9/CA
Protocol/Novo Franklin;WIL+CHA,9/CA
Protocol/Marian;WIL+CHA,9/CA
Protocol/Hanseatic;WIL+CHA,9/CA
Protocol/Castilian;WIL+CHA,9/CA
Protocol/Umayyad;WIL+CHA,9/CA
Protocol/JàrnFòlk Families;WIL+CHA,9/CA
Protocol/Clan;WIL+CHA,9/CA
Protocol/Diamond Shark;WIL+CHA,9/CA
Protocol/Ghost Bear;WIL+CHA,9/CA
Protocol/Hell’s Horses;WIL+CHA,9/CA
Protocol/Jade Falcon;WIL+CHA,9/CA
Protocol/Nova Cat;WIL+CHA,9/CA
Protocol/Snow Raven;WIL+CHA,9/CA
Protocol/Wolf;WIL+CHA,9/CA
Protocol/Blood Spirit;WIL+CHA,9/CA
Protocol/Cloud Cobra;WIL+CHA,9/CA
Protocol/Coyote;WIL+CHA,9/CA
Protocol/Fire Mandrill;WIL+CHA,9/CA
Protocol/Kindraa;WIL+CHA,9/CA
Protocol/Goliath Scorpion;WIL+CHA,9/CA
Protocol/Ice Hellion;WIL+CHA,9/CA
Protocol/Star Adder;WIL+CHA,9/CA
Protocol/Steel Viper;WIL+CHA,9/CA
Protocol/Astrokaszy;WIL+CHA,9/CA
Protocol/Mercenary;WIL+CHA,9/CA
Protocol/ComStar;WIL+CHA,9/CA
Protocol/Word of Blake;WIL+CHA,9/CA
Running;RFL,7/SB
Science/Biology;INT+WIL,9/CA
Science/Chemistry;INT+WIL,9/CA
Science/Mathematics;INT+WIL,9/CA
Science/Physics;INT+WIL,9/CA
Science/Metallurgy;INT+WIL,9/CA
Science/Biochemistry;INT+WIL,9/CA
Security Systems/Electronic;DEX+INT,9/CA
Security Systems/Mechanical;DEX+INT,9/CA
Sensor Operations;INT+WIL,8/SA
Small Arms;DEX,7/SB
Stealth;RFL+INT,8/SA
Strategy;INT+WIL,9/CA
Streetwise;CHA,8/CB
Support Weapons;DEX,7/SB
Surgery/General;DEX+INT,9/CA
Surgery/Veterinary;DEX+INT,9/CA
Survival/Arctic;BOD+INT,9/CA
Survival/Desert;BOD+INT,9/CA
Survival/Forest;BOD+INT,9/CA
Survival/Ocean;BOD+INT,9/CA
Survival/Mountain;BOD+INT,9/CA
Survival/Jungle;BOD+INT,9/CA
Survival/Martian Desert;BOD+INT,9/CA
Survival/Badlands;BOD+INT,9/CA
Swimming;STR,7/SB
Tactics/Infantry;INT+WIL,9/CA
Tactics/Land;INT+WIL,9/CA
Tactics/Sea;INT+WIL,9/CA
Tactics/Air;INT+WIL,9/CA
Tactics/Space;INT+WIL,9/CA
Technician/Aeronautics;DEX+INT,9/CA
Technician/Cybernetics;DEX+INT,9/CA
Technician/Electronic;DEX+INT,9/CA
Technician/Jets;DEX+INT,9/CA
Technician/Mechanical;DEX+INT,9/CA
Technician/Myomer;DEX+INT,9/CA
Technician/Nuclear;DEX+INT,9/CA
Technician/Weapons;DEX+INT,9/CA
Thrown Weapons/Blades;DEX,7/SB
Thrown Weapons/Blunt Weapons;DEX,7/SB
Tracking/Urban;INT+WIL,8/SA
Tracking/Wilds;INT+WIL,8/SA
Training;INT+CHA,9/CA
Zero-G Operations;RFL,7/SB
